"","Device","mean_X","median_X","mean_Y","median_Y","mean_Z","median_Z","Corr_YZ","Corr_XZ","mean_P_X","median_P_X","mean_P_Y","median_P_Y","mean_P_Z","median_P_Z","Corr_P_YZ","Corr_P_XZ","mean_M_X","median_M_X","mean_M_Y","median_M_Y","mean_M_Z","median_M_Z","Corr_M_YZ","Corr_M_XZ"
"1",7,1.01746619454782,0.313268,5.54653215806335,6.851035,4.75972461745924,5.856749,1.16530526529161,0.213765769308509,-0.717051882169279,-1.56623182107684,-1.28334119118876,-1.57010922676013,-1.51018339980259,-1.58255926802953,0.226842208613835,0.793131517633315,28.1302777314339,8423.44362055236,744.532992836295,51482.3906958842,1118.48950171432,3808.4477265326,0.665659348340008,0.0251502385031941
"2",8,0.127453144496386,0.27240697,3.50318942383715,4.2495484,7.66687947736524,8.580819,0.456925067647084,0.0166238617514027,0.958254754031887,1.56965474530307,-1.47986460149589,-1.56564864431981,-1.54559289499947,-1.57362647012904,0.0657282935035724,2.50384764903135,2.73898733671346,13873.8184313469,61.2262154054862,9038.80106280501,100.952217331378,149.599990258674,0.606487078976284,0.0271315223094375
"3",9,0.646412983748487,0.42223078,3.61561799689141,3.8273177,6.61367970569802,7.9679036,0.546687798288202,0.0977387796980203,-2.29415007414003,1.56662380757767,-1.70340745225823,1.57036755731021,-1.31232009295745,1.38830993136231,-0.391087359300775,-0.981829981182581,9.75853219334914,7292.10451550396,43.5096610499212,20170.7379039349,76.4506124076337,280.666337602343,0.569121157825764,0.127644918543187
"4",12,-0.268610223995224,0.013620348,6.6754003963505,8.008764,3.57211574947545,3.636633,1.86875254457551,-0.0751963941915006,1.80598325623405,1.55189687581919,-0.540788727077079,1.55933893361439,-2.3458603980474,1.58018108847429,1.80507167097032,-2.13134165289814,21.0810648815241,2453.28316221209,67.962212250075,11482.6366934917,111.325402394465,15304.0594432321,0.610482520505616,0.18936437172557
"5",23,0.388888325915963,0.10896278,3.47538341277572,3.7864566,6.45751305401208,8.22669,0.538192239598564,0.060222615527559,-1.36026792676852,1.55468694056516,-1.42728485133362,1.56739934555863,-1.47552253004993,1.57471646719508,0.0482376787163071,0.11525460328141,1.34961159663608,781.412116020121,36.133026096851,8324.39338413081,54.6392056478631,628.224332323218,0.661302185279191,0.0247004249171193
"6",25,0.990135964036532,0.076614454,4.36362244658431,5.439626,5.98970940462347,6.7803793,0.728519891668873,0.165306177169838,-1.13629285533287,1.57478510227675,-1.46080495048625,-1.5688710892028,-1.42287636541707,1.57104392690904,-0.0379285850691871,0.286583510084194,3.20972001750748,5307.90881674494,27.4305438545109,1993.46209839393,42.9931798481334,6760.29413417448,0.638020819846427,0.0746564927005936
"7",26,-0.914032495904874,-0.9125633,5.9111747413674,7.4230895,1.68458624927174,0.8036005,3.5089772007357,-0.542585751427105,-1.80997955566102,-1.56542875995844,-1.34381876071978,1.56172620828393,-1.40638262028367,1.56819452164556,0.0625638595638911,-0.403596935377348,4.35341452238096,2036.76986276767,22.791244293251,3244.65022356176,34.9667927716541,3877.41865424733,0.651796818829973,0.124501396247873
"8",27,0.0569925847796096,0.4213795,2.84126962998201,3.4859576,5.94267487678787,7.967903,0.478112918658907,0.00959039253556056,-1.02459689400949,-1.46917165515546,-1.37300419696908,-1.56893619150148,-1.33901057684459,1.56931380574055,-0.0339936201244964,0.3144136828351,0.578862259582747,92.3480695267738,19.0045956018872,4276.5267606234,29.4127212485084,7839.83525225042,0.646135236563703,0.0196806767620015
"9",33,1.38834950324506,0.9125633,-0.000910597658385155,0.14982383,4.72093556957933,5.8158884,-0.000192885000221745,0.294083552461778,-0.838833505923044,-1.4414128591983,-1.98415175857517,-1.56792767774555,-1.34510424623768,-1.59817149877166,-0.639047512337485,0.506270740314636,34.248637459681,612.077446286036,19.5129947671636,8458.74553547636,32.786017644186,3721.72339549024,0.595162089489815,1.04461108486454
"10",37,0.410968697705123,0.53119355,2.72884499073771,2.5606253,6.96146952744016,8.281172,0.391992664764439,0.0590347621411255,-0.884078253195044,-1.55652201554386,-1.23972212331183,-1.55643763300844,-1.27872461280424,1.56454479105256,0.0390024894924125,0.394646359609201,1.63722739575725,688.548507519428,18.5274003333097,538.738456806574,22.2275792391629,2353.30572734105,0.833532078952898,0.0736574765133491
